player_name,image_url
Josh Little,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQGTSJIqIGgse6xcR_suOtck3ukIavQHD2znbgEc7ctoStySzyyYmReMEbHY3VMd0DKgYfabkXNxqVzYJE
Jayant Yadav,https://www.gujarattitansipl.com/static-assets/images/players/59611.png?v=4.86
Karn Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2024/1503.png
Dasun Shanaka,https://media.gettyimages.com/id/1498885390/photo/bulawayo-zimbabwe-dasun-shanaka-of-sri-lanka-poses-for-a-photograph-prior-to-the-icc-mens.jpg?s=612x612&w=gi&k=20&c=NZ8I3RkA3ye79xdjG4mecQFlr5aOTYWDcaO-yFpYMf4=
Kartik Tyagi,https://documents.iplt20.com/ipl/IPLHeadshot2024/536.png
Kumar Kartikeya,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0mAcm4Hs-C3jrnus3NYZxQ2utLtlg_fUr2yBAB4fj-6-PuaH-
Rahul Tripathi,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS1-YjzCmwK2CwTcGPnZNNvqCgB4p-tDLTnCmu0CFIp951GDaaM8C-3LtMM1b9ONJVjBTsPOXuYAysiuyxYQz213SWkQLMkSYxJSXNkjQ
Akash Deep,https://documents.iplt20.com/ipl/IPLHeadshot2024/1007.png
Lockie Ferguson,https://documents.iplt20.com/ipl/IPLHeadshot2024/69.png
Rishi Dhawan,https://documents.iplt20.com/ipl/IPLHeadshot2024/996.png
Jitesh Sharma,https://www.punjabkingsipl.in/static-assets/images/players/64724.png?v=5.97
Arjun Tendulkar,https://www.iplbetonline.in/wp-content/uploads/2023/04/10244-780x780.png
Akash Madhwal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl2v1rC8ZJoTlxNbTTX5jAVP75jexJBdK8jg&s
David Wiese,https://i.cdn.newsbytesapp.com/sports/players/profile/david-wiese.png
Liam Livings,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3lp1EfXXeq1ctDTU-lL6aENm8WnpY2Gu0Nw&s
Shivam Dube,https://t20storm.in/wp-content/uploads/2022/05/Shivam-Dube-1024x1024.webp
Hrithik Shokeen,https://www.iplbetonline.in/wp-content/uploads/2023/04/20598-780x780.png
Rahul Chahar,https://documents.iplt20.com/ipl/IPLHeadshot2024/171.png
Rahul Tewatia,https://documents.iplt20.com/ipl/IPLHeadshot2024/120.png
Mayank Agarwal,https://i.cdn.newsbytesapp.com/sports/players/profile/mayank-agarwal.png
Navdeep Saini,https://d1k8sn41pix00a.cloudfront.net/media/players/photos/Navdeep-Saini-T20I2020.png
Virat Kohli,https://resize.indiatvnews.com/en/resize/newbucket/1080_-/2024/08/rohit-13-1723962102.jpg
Mohammed Shami,https://www.gujarattitansipl.com/static-assets/images/players/28994.png?v=4.86
Nitish Rana,https://ipltable.in/wp-content/uploads/2024/03/image-76-700x700.jpeg
Prabhsimran Singh,https://www.punjabkingsipl.in/static-assets/images/players/70222.png?v=5.97
Shubman Gill,https://www.gujarattitansipl.com/static-assets/images/players/66818.png?v=4.86
Abhinav Manohar,https://documents.iplt20.com/ipl/IPLHeadshot2024/974.png
Ishant Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2024/50.png
Washing,https://documents.iplt20.com/ipl/IPLHeadshot2024/20.png
Sarfaraz Khan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGQxEZLGWJK88UNfJnucpUPghoXeCAIZnotg&s
Sanvir Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjlJs1Zr-ed9L62vVMnoGvlFiHZFpJY0VEQw&s
Ruturaj Gaikwad,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLzKfP1IxiIUy_tsK0ySVufRhWMSNT1r_alCOWPoPvQhP01GH55lNR2uevQx5FjeVwZq0&usqp=CAU
Vivrant Sharma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvKxJN3N-EXr80SQGWG0fzEcpcNyCoMZ2rzw&s
Harshit Rana,https://documents.iplt20.com/ipl/IPLHeadshot2024/583.png
Abdul Basith,https://images.mykhel.com//webp/images/cricket/players/8/15228.jpg
Arshdeep Singh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0H4zsmgAuxADKMFAK0mJ9z-4vY1ImB3fD3w&s
Gurnoor Brar,https://www.punjabkingsipl.in/static-assets/images/players/70500.png?v=6.01
Jason Roy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1ookYDRqIB1FaIMNfmOV20ITvDg01yc4aog&s
Ben S,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQH_52hFPTn8BC2uIpOCHVqqrgqI338flI8Cw&s
Kagiso Rabada,https://documents.iplt20.com/ipl/IPLHeadshot2024/116.png
Joe Root,https://th.bing.com/th?id=OSK.HEROtPLe7D6d-w4t_wL-nMLiyD2af-kHvpYVIxzpNyjrkW4&w=472&h=280&c=13&rs=2&o=6&oif=webp&dpr=2&pid=SANGAM
Hardik Pandya,https://www.biographyvip.com/wp-content/uploads/2023/08/Pandya.jpeg
Abishek Porel,https://www.bing.com/th?id=OIP.zefs_HyHmsaVplVMRHHovAHaJL&w=144&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Kedar Jadhav,https://www.bing.com/th?id=OIP.2fRJaGqg07NAbYXwisFyZgHaE8&w=312&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Riyan Parag,https://documents.iplt20.com/ipl/IPLHeadshot2024/189.png
Karan Sharma,https://th.bing.com/th?id=OIP.vjwMgpmEWuj3n5SmJKJyegAAAA&w=144&h=144&c=2&o=6&dpr=2&pid=WebQS
Sanju Samson,https://th.bing.com/th?id=OSK.HERO3AZN4iSNC1CkTv3h0_bXnLK8c8-NlXLfhUJ7lOcSJnA&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Prerak Mankad,https://th.bing.com/th/id/OIP.c82QrrZcNs_AB23qnKctaQHaHa?w=178&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Chetan Sakariya,https://documents.iplt20.com/ipl/IPLHeadshot2024/592.png
Mitchell Santner,https://th.bing.com/th?id=OSK.HEROOirIe7ATg6aSDBRZyBV4rzxK8MNyXJ0wKGQUBpLoGTQ&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Murugan Ashwin,https://images.indiafantasy.com/wp-content/uploads/20220722175258/12d5974af2364102583dd2487fb1705a.jpg
Nehal Wadhera,https://th.bing.com/th/id/OIP.xQas7xaOEWJhLz5WBEnG1wHaE8?w=288&h=192&c=7&r=0&o=5&dpr=2&pid=1.7
Obed McCoy,https://th.bing.com/th?id=OSK.HEROuWQwA8bLKBm0DaRx1xXgFU13CC81_WloAjBL8UyR_Rw&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Dhruv Jurel,https://th.bing.com/th?id=OSK.HERO2DGEk9A5aji_9zwaMEPmddlriKyUu8ZvfScaVtWjF04&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Rahmanullah Gurbaz,https://th.bing.com/th/id/OIP.gJS8VJ3gV3nAhdmnq5qS7wHaHa?rs=1&pid=ImgDetMain
Cameron Green,https://th.bing.com/th?id=OSK.HEROvSV1Sb3mg3auXTwd9WEj1wsxAoefXtn7uFsglSc9KN0&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Shahrukh Khan,https://th.bing.com/th?id=OSK.737720739c4cb60fab120052da6425b2&w=102&h=102&c=7&o=6&dpr=2&pid=SANGAM
Romario Shepherd,https://www.bing.com/th?id=OIP.p6I04YS4hUApN3BXEp7bHQHaHa&w=184&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Andre Russell,https://documents.iplt20.com/ipl/IPLHeadshot2024/141.png
Josh Hazlewood,https://www.bing.com/th?id=OIP.xNC0MzcpsFFIv7dCI9nbJAHaJ8&w=114&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Aiden Markram,https://th.bing.com/th?id=OSK.HERO_zqjKRwzkpab6n8GC1qldqZnMHRLc9LAgh0uK9_FFCA&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Manish Pandey,https://th.bing.com/th?id=ODL.4df327577e0dda26f036edd40536d165&w=298&h=278&c=10&rs=1&qlt=99&o=6&dpr=2&pid=13.1
Deepak Chahar,https://th.bing.com/th?id=OSK.HEROFoPnOXvJKH8iYJ-vewyinRhlrXYGvLQqqxpjJYtsqiU&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Marco Jansen,https://www.bing.com/th?id=OIP.yTPRBK7HwjLRXDDzD-bNfgHaJQ&w=160&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Bhanuka Rajapaksa,https://www.bing.com/th?id=OIP.TjD7lWq1OMDVzpSRxWOyRwHaEH&w=245&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Narayan Jagadeesan,https://th.bing.com/th?id=OSK.mmcolz3FqweqoZtcqhiLrfw6JqeRboJusnJNIkD6A4_6aYLM&w=130&h=100&c=8&o=6&dpr=2&pid=SANGAM
Devon Conway,https://th.bing.com/th?id=OSK.HEROjL4szLAGcdrCVjVLw22ikxFCLi2mgZENvqpJC6chDEI&w=472&h=280&c=13&rs=2&o=6&oif=webp&dpr=2&pid=SANGAM
Trent Boult,https://th.bing.com/th?id=OSK.xD39VOPVxg2MEirt7d8PFQHaFj&w=200&h=200&c=7&rs=1&o=6&dpr=2&pid=SANGAM
Rajvardhan Hangargekar,https://th.bing.com/th/id/OIP.3PY9xislueuIZqoSGRadCQHaEK?w=332&h=187&c=7&r=0&o=5&dpr=2&pid=1.7
Sam Curran,https://www.bing.com/th?id=OIP.wSWW8Iz9DcHXm5i4PgKnUwHaE8&w=312&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Krishnappa Gowtham,https://th.bing.com/th?id=OSK.mmcolL3EPOCjj1oxwHJGVu8kPUh2zBrN1qW2A_vGLoRyPgps&w=130&h=100&c=8&o=6&dpr=2&pid=SANGAM
Faf du Plessis,https://th.bing.com/th?id=OSK.HEROIfg_rReFsobq18T1Z61ox3p_qJuuWRDQBU2nd3wgsRs&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Amit Mishra,https://th.bing.com/th?id=OSK.k-veZ1HikCTaQCot_nMYIQHaFj&w=200&h=200&c=7&rs=1&o=6&dpr=2&pid=SANGAM
Yudhvir Singh,https://www.bing.com/th?id=OIP.pazYnLXM2lB9xuTiuETCDQHaHa&w=179&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Deepak Hooda,https://th.bing.com/th/id/OIP.lJ-6FSArwePqPJzTVFO8GAHaEK?w=317&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Vishnu Vinod,https://th.bing.com/th/id/OIP.wpIWRdP-QS989fQwl6XBLwHaFp?w=216&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Mustafizur Rahman,https://th.bing.com/th?id=OSK.HERO1r5vTsZ44kliF5q3DzmMnWFFahIqA7vWICeNvtEH-y4&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Vijaykumar Vyshak,https://th.bing.com/th/id/OIP.O9a7N0um29PAJ5fIMM8l8wHaEK?w=296&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Harry Brook,https://th.bing.com/th/id/OIF.J7znK4ktPz104QXUsoLgnw?rs=1&pid=ImgDetMain
Ajinkya Rahane,https://th.bing.com/th?id=OSK.HEROwszBe3B4JGdNNlvOXc_Jnnh4a0GcbYeIwfUAk5mvPC0&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Reece Topley,https://www.bing.com/th?id=OIP.lJTd3YGL3dV0E86Kqt-93gHaEK&w=231&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Swapnil Singh,https://th.bing.com/th/id/OIP._RS8MB-4AQ1ls5Xc7VyqTwHaFw?w=196&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Mukesh Kumar,https://th.bing.com/th/id/OIP.2adkt_zdmFSIkxq14snhSAHaEK?w=277&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Alzarri Joseph,https://th.bing.com/th/id/OIP.4FSnmRA6a2ISGhbYQ4-bewHaFY?w=272&h=198&c=7&r=0&o=5&dpr=2&pid=1.7
Mohit Sharma,https://th.bing.com/th?id=OSK.mmcolO-8ejCRjnodBfWR4_qKBuj2gbEdUrCkZ8X86B_145uU&w=200&h=200&c=7&rs=1&o=6&dpr=2&pid=SANGAM
Ravichandran Ashwin,https://th.bing.com/th?id=OSK.HERORKbaPcdciBW3421uDE9vBKOLcN_LV7S85gPV5aGoD5w&w=312&h=200&c=15&rs=2&o=6&oif=webp&dpr=2&pid=SANGAM
Chris Jordan,https://www.bing.com/th?id=OIP.PrHFe676U5D5qdb1DzZlygHaEK&w=215&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
MS Dhoni,https://th.bing.com/th/id/OIP.mHRegy4XXSoaQ6n4o7_cWwHaEK?w=275&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Michael Bracewell,https://th.bing.com/th?id=OSK.HEROg5FMHfcH2lzjmttK71fP1bpiQ5UWLnUHW1bywYBVeb4&w=472&h=280&c=13&rs=2&o=6&oif=webp&dpr=2&pid=SANGAM
Maheesh Theekshana,https://www.bing.com/th?id=OIP.qONQxJ0Eb70nx1XKTdwK2wHaFo&w=176&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Ayush Badoni,https://th.bing.com/th/id/OIP.NG0dezG2IuMLoEEydlM2RAAAAA?w=263&h=180&c=7&r=0&o=5&dpr=2&pid=1.7
Tristan Stubbs,https://www.bing.com/th?id=OIP.PY3lbae5PY-fiDdKcp-1EAHaEK&w=216&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Anuj Rawat,https://www.bing.com/th?id=OIP.Fj-oIzwa-f6-PklIRZgEsQAAAA&w=119&h=150&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Noor Ahmad,https://th.bing.com/th?id=OVFT._ASjX6mtRoYaCkpMcxar2S&pid=News&w=300&h=186&c=14&rs=2&qlt=90&dpr=2
Sikandar Raza,https://th.bing.com/th?id=OSK.HERO-o96lK-tSCm1bnt5xwVBfMcxLTr8rviu3OysSTHoePc&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Ambati Rayudu,https://th.bing.com/th?id=OSK.HERO1iTj0eO_uaTiziLFXRAYVY0tIrSYATuTBEOYaMoIISA&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Harpreet Singh,https://www.bing.com/th?id=OIP.OlpdiVqSLZh_qk3cv7aL6AHaHa&w=187&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Wriddhiman Saha,https://th.bing.com/th?id=OSK.HEROW2EFh3XzpHBV5qkqQrtZx96ygDxxi7HNCHfoDn_S-D4&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
